system,ansatz,energy,err
H10_d1.2,MD-SJBF,-5.1435980796813965,0.0001536053575379701
H10_d1.2,SD-SJ,-5.135560512542725,0.00032588206368304765
H10_d1.2,SD-SJBF,-5.139991283416748,0.000236180219908513
H10_d1.4,MD-SJBF,-5.486588954925537,0.00014470937202433053
H10_d1.4,SD-SJ,-5.47797155380249,0.00038904495828010995
H10_d1.4,SD-SJBF,-5.482977390289307,0.00021400724979967836
H10_d1.6,MD-SJBF,-5.6281046867370605,0.00017189968909533804
H10_d1.6,SD-SJ,-5.617600917816162,0.00045738369042663357
H10_d1.6,SD-SJBF,-5.626377105712891,0.00022366289455488979
H10_d1.8,MD-SJBF,-5.661114692687988,0.00021177610050825395
H10_d1.8,SD-SJ,-5.6483683586120605,0.0006336175956809391
H10_d1.8,SD-SJBF,-5.6602702140808105,0.0002359364097576503
H10_d2.0,MD-SJBF,-5.636511325836182,0.0002416184511934471
H10_d2.0,SD-SJ,-5.622629165649414,0.0009679197902526865
H10_d2.0,SD-SJBF,-5.635093688964844,0.00032951028033286725
H10_d2.4,MD-SJBF,-5.5140910148620605,0.0003290280201141831
H10_d2.4,SD-SJ,-5.482580184936523,0.0036059394378759858
H10_d2.4,SD-SJBF,-5.512447357177734,0.0005476313202391929
H10_d2.8,MD-SJBF,-5.370560646057129,0.0005463850714810959
H10_d2.8,SD-SJ,-5.331760406494141,0.0024814302994601574
H10_d2.8,SD-SJBF,-5.366345405578613,0.0014687949294169952
H10_d3.2,MD-SJBF,-5.244682788848877,0.0007314787522375068
H10_d3.2,SD-SJ,-5.193051338195801,0.004206405155554821
H10_d3.2,SD-SJBF,-5.238269805908203,0.0010368323163436758
H10_d3.6,MD-SJBF,-5.148167133331299,0.0012867013637113886
H10_d3.6,SD-SJ,-5.075581073760986,0.007679406758942222
H10_d3.6,SD-SJBF,-5.144440174102783,0.0018049853457695498
