system,ansatz,energy,err
B,MD-SJ,-24.645570755004883,0.0003802846682753307
B,MD-SJBF,-24.650724411010742,0.00031253145157354966
B,SD-SJ,-24.63502311706543,0.0004121316605669468
B,SD-SJBF,-24.64206314086914,0.00046593087295401445
Be,MD-SJ,-14.667093276977539,0.00018283932407247818
Be,MD-SJBF,-14.667289733886719,0.00014315113403712626
Be,SD-SJ,-14.656028747558594,0.0002767033017795515
Be,SD-SJBF,-14.660497665405273,0.00040429035974469087
C,MD-SJ,-37.830204010009766,0.0005776031964475479
C,MD-SJBF,-37.83674621582031,0.00048718695962723474
C,SD-SJ,-37.82256317138672,0.0006226068070739766
C,SD-SJBF,-37.83066177368164,0.0005479012092556218
H2,MD-SJ,-1.174372911453247,2.667455633331552e-05
H2,MD-SJBF,-1.1744683980941772,1.475735872499222e-05
H2,SD-SJ,-1.17385995388031,4.6906845057402216e-05
H2,SD-SJBF,-1.1744792461395264,1.2430563611112589e-05
Li2,MD-SJ,-14.992362976074219,0.00020041693595461573
Li2,MD-SJBF,-14.994043350219727,0.00013070515374486257
Li2,SD-SJ,-14.98857593536377,0.00032837950896820293
Li2,SD-SJBF,-14.991386413574219,0.0006236338814474967
LiH,MD-SJ,-8.070318222045898,0.00011939926606057396
LiH,MD-SJBF,-8.070272445678711,0.00010363100616592222
LiH,SD-SJ,-8.06904411315918,0.00015404603293657593
LiH,SD-SJBF,-8.069974899291992,0.00011416441605839882
