batch,state,step,energy_ewm
250,ground,0,-153.87353515625
250,ground,1,-153.8182184128534
250,ground,2,-153.79221770051237
250,ground,3,-153.80905027297982
250,ground,4,-153.78923343763992
250,ground,5,-153.7893481680527
250,ground,6,-153.79125128212797
250,ground,7,-153.7748540516234
250,ground,8,-153.79245160363848
250,ground,9,-153.7806754579873
250,ground,10,-153.80130357680923
250,ground,11,-153.81872699142218
250,ground,12,-153.83110047646358
250,ground,13,-153.8382813512568
250,ground,14,-153.8526263783458
250,ground,15,-153.85277145746798
250,ground,16,-153.88132560990744
250,ground,17,-153.90265263309544
250,ground,18,-153.90164778978496
250,ground,19,-153.9067168786422
250,ground,20,-153.8962165530246
250,ground,21,-153.89963136573965
250,ground,22,-153.89758871820493
250,ground,23,-153.91243454682007
250,ground,24,-153.904155577106
250,ground,25,-153.9174451689123
250,ground,26,-153.92027571876662
250,ground,27,-153.93170296257125
250,ground,28,-153.94498419554793
250,ground,29,-153.94681062825657
250,ground,30,-153.95113136393337
250,ground,31,-153.95455907118142
250,ground,32,-153.96589757424448
250,ground,33,-153.9547268064404
250,ground,34,-153.96043761738602
250,ground,35,-153.9705077531809
250,ground,36,-153.98012843027752
250,ground,37,-153.97961526165702
250,ground,38,-153.99128280056178
250,ground,39,-153.9910818251951
250,ground,40,-153.9935727246092
250,ground,41,-153.99724038197988
250,ground,42,-154.00169460543196
250,ground,43,-154.0089581337736
250,ground,44,-154.02051885933145
250,ground,45,-154.02840243250523
250,ground,46,-154.01999303222036
250,ground,47,-154.01137691019468
250,ground,48,-154.01502870376095
250,ground,49,-154.02400060386125
250,ground,50,-154.0293174121266
250,ground,51,-154.03683430871857
250,ground,52,-154.04688821196729
250,ground,53,-154.05005103315543
250,ground,54,-154.04936821366758
250,ground,55,-154.05755222398065
250,ground,56,-154.06269655897293
250,ground,57,-154.06328732837883
250,ground,58,-154.06927229817302
250,ground,59,-154.0782270260546
250,ground,60,-154.08641396457023
250,ground,61,-154.0834672746686
250,ground,62,-154.0919003397338
250,ground,63,-154.10099534892439
250,ground,64,-154.1101709107619
250,ground,65,-154.11550760795626
250,ground,66,-154.1223405174826
250,ground,67,-154.12434747241454
250,ground,68,-154.13210997222006
250,ground,69,-154.13793238470763
250,ground,70,-154.13871645459255
250,ground,71,-154.14685237121958
250,ground,72,-154.15484811434874
250,ground,73,-154.16168318878874
250,ground,74,-154.1688563301701
250,ground,75,-154.17351400573605
250,ground,76,-154.1814320236322
250,ground,77,-154.1868177011653
250,ground,78,-154.19030965189938
250,ground,79,-154.19798816224258
250,ground,80,-154.19577967804958
250,ground,81,-154.19910244256045
250,ground,82,-154.20427640221675
250,ground,83,-154.21136587516978
250,ground,84,-154.21487528808916
250,ground,85,-154.21176094471087
250,ground,86,-154.20956142586286
250,ground,87,-154.21763600967532
250,ground,88,-154.2282818498891
250,ground,89,-154.23815151559236
250,ground,90,-154.23603678929916
250,ground,91,-154.24146959588327
250,ground,92,-154.24491378872085
250,ground,93,-154.2495202280141
250,ground,94,-154.25779402842815
250,ground,95,-154.25766427638072
250,ground,96,-154.25899246712916
250,ground,97,-154.25971063400112
250,ground,98,-154.26279808689299
250,ground,99,-154.26873524911903
250,ground,100,-154.26459269987603
250,ground,101,-154.2652152241954
250,ground,102,-154.2694462300887
250,ground,103,-154.27597224280697
250,ground,104,-154.28460562024566
250,ground,105,-154.28880738546974
250,ground,106,-154.28581220529233
250,ground,107,-154.28993809932996
250,ground,108,-154.29472031912414
250,ground,109,-154.3008548363099
250,ground,110,-154.29855214119414
250,ground,111,-154.29777881979453
250,ground,112,-154.29608852427563
250,ground,113,-154.30103047028874
250,ground,114,-154.3052831939816
250,ground,115,-154.30369849594652
250,ground,116,-154.30433107975503
250,ground,117,-154.3080036122832
250,ground,118,-154.30903488004685
250,ground,119,-154.31685977380755
250,ground,120,-154.31475000411035
250,ground,121,-154.31337946587834
250,ground,122,-154.3133959747321
250,ground,123,-154.3177562338882
250,ground,124,-154.32304756598037
250,ground,125,-154.32203180914013
250,ground,126,-154.32232478139778
250,ground,127,-154.31960531550763
250,ground,128,-154.32323478967623
250,ground,129,-154.3301375840457
250,ground,130,-154.32833104849473
250,ground,131,-154.3255112004337
250,ground,132,-154.32927098409658
250,ground,133,-154.33346455488683
250,ground,134,-154.3419342399642
250,ground,135,-154.33662713237075
250,ground,136,-154.33580042316427
250,ground,137,-154.33676258551498
250,ground,138,-154.34019091401282
250,ground,139,-154.3439693819798
250,ground,140,-154.3399864781012
250,ground,141,-154.3402477220007
250,ground,142,-154.33919234624545
250,ground,143,-154.34199574189373
250,ground,144,-154.34523913433495
250,ground,145,-154.34053333127156
250,ground,146,-154.3373361623485
250,ground,147,-154.3394800105752
250,ground,148,-154.34156523129988
250,ground,149,-154.3447516826884
250,ground,150,-154.34212389815985
250,ground,151,-154.34137574296545
250,ground,152,-154.3432987046299
250,ground,153,-154.3461586921806
250,ground,154,-154.3515344722636
250,ground,155,-154.3508734064378
250,ground,156,-154.34846508439458
250,ground,157,-154.34750386019238
250,ground,158,-154.34947463311215
250,ground,159,-154.35270270277508
250,ground,160,-154.34984699977804
250,ground,161,-154.34911055415407
250,ground,162,-154.3503301595877
250,ground,163,-154.35091863410008
250,ground,164,-154.35287839036715
250,ground,165,-154.35028419976663
250,ground,166,-154.34903541939025
250,ground,167,-154.34781766582577
250,ground,168,-154.34942342729488
250,ground,169,-154.35003796595694
250,ground,170,-154.3463589208223
250,ground,171,-154.3431977325389
250,ground,172,-154.34180711119492
250,ground,173,-154.34505599134272
250,ground,174,-154.34718939858263
250,ground,175,-154.34684791124545
250,ground,176,-154.34884009819163
250,ground,177,-154.3516613594668
250,ground,178,-154.35174113761477
250,ground,179,-154.35174113761477
250,ground,180,-154.35077853141763
250,ground,181,-154.3504030423507
250,ground,182,-154.35182164609031
250,ground,183,-154.35742832396917
250,ground,184,-154.36284263402086
250,ground,185,-154.3588096580187
250,ground,186,-154.3574408485332
250,ground,187,-154.35688118014468
250,ground,188,-154.35996700245406
250,ground,189,-154.35996700245406
250,ground,190,-154.3552696224079
250,ground,191,-154.35477645981044
250,ground,192,-154.3583690192865
250,ground,193,-154.35924437801276
250,ground,194,-154.36462813544716
250,ground,195,-154.3624753903664
250,ground,196,-154.3599646221944
250,ground,197,-154.36117432669977
250,ground,198,-154.36276605590794
250,ground,199,-154.36578629544445
250,ground,200,-154.36367422195656
250,ground,201,-154.36106935070887
250,ground,202,-154.36082875605595
250,ground,203,-154.3637995852494
250,ground,204,-154.36429960376506
250,ground,205,-154.36184142042063
250,ground,206,-154.35954474356296
250,ground,207,-154.35698965307355
250,ground,208,-154.3599787200817
250,ground,209,-154.36276823634793
250,ground,210,-154.36326091004784
250,ground,211,-154.36303125734523
250,ground,212,-154.36224423499704
250,ground,213,-154.3636967419278
250,ground,214,-154.36600432098206
250,ground,215,-154.3627626664489
250,ground,216,-154.36150057443504
250,ground,217,-154.36405960750542
250,ground,218,-154.36489562858415
250,ground,219,-154.3677202284113
250,ground,220,-154.36491203082448
250,ground,221,-154.36448916935194
250,ground,222,-154.36638569672732
250,ground,223,-154.3686114372491
250,ground,224,-154.37105764679606
250,ground,225,-154.366537536372
250,ground,226,-154.36610867508972
250,ground,227,-154.3671784594437
250,ground,228,-154.37363489146745
250,ground,229,-154.37772869818406
250,ground,230,-154.37638175728793
250,ground,231,-154.37469930567008
250,ground,232,-154.3765089897596
250,ground,233,-154.37941003346506
250,ground,234,-154.3813558198567
250,ground,235,-154.3780111321831
250,ground,236,-154.37674612042028
250,ground,237,-154.37633737857817
250,ground,238,-154.37617671982755
250,ground,239,-154.37821861827624
250,ground,240,-154.37510938449788
250,ground,241,-154.3733735255821
250,ground,242,-154.3708951910984
250,ground,243,-154.37296934948404
250,ground,244,-154.37828858688226
250,ground,245,-154.3763639521547
250,ground,246,-154.37600864725403
250,ground,247,-154.37591029223924
250,ground,248,-154.38129034943907
250,ground,249,-154.38433175830926
250,ground,250,-154.38065915647516
250,ground,251,-154.37892726788147
250,ground,252,-154.37831502163294
250,ground,253,-154.3816086545831
250,ground,254,-154.38396257073083
250,ground,255,-154.38207304933778
250,ground,256,-154.3807873640272
250,ground,257,-154.38110230064711
250,ground,258,-154.38370347389693
250,ground,259,-154.38686439994171
250,ground,260,-154.38551533480708
250,ground,261,-154.38402630887282
250,ground,262,-154.383983266005
250,ground,263,-154.38539067237272
250,ground,264,-154.38778481769108
250,ground,265,-154.38516037781596
250,ground,266,-154.3849961214757
250,ground,267,-154.3875134995792
250,ground,268,-154.39008572625804
250,ground,269,-154.39175381382805
250,ground,270,-154.39035580465645
250,ground,271,-154.38761008361212
250,ground,272,-154.38840834066144
250,ground,273,-154.38928807546182
250,ground,274,-154.39128605127786
250,ground,275,-154.38879947763814
250,ground,276,-154.3882167761528
250,ground,277,-154.38998352062288
250,ground,278,-154.39242289919102
250,ground,279,-154.3937978094135
250,ground,280,-154.39172773432108
250,ground,281,-154.39031425905813
250,ground,282,-154.38999966765334
250,ground,283,-154.391236476496
250,ground,284,-154.39524789482672
250,ground,285,-154.39288354994642
250,ground,286,-154.39321564485985
250,ground,287,-154.3943554413615
250,ground,288,-154.39676440871153
250,ground,289,-154.39869553325894
250,ground,290,-154.39679954973272
250,ground,291,-154.39449716268342
250,ground,292,-154.39650635099133
250,ground,293,-154.39671868692835
250,ground,294,-154.40103714005912
250,ground,295,-154.3996409027259
250,ground,296,-154.39670268469317
250,ground,297,-154.39502743950126
250,ground,298,-154.3961404106451
250,ground,299,-154.39776652020683
250,ground,300,-154.39582005821063
250,ground,301,-154.39614070035043
250,ground,302,-154.39560120409413
250,ground,303,-154.39771045035744
250,ground,304,-154.39837479539247
250,ground,305,-154.39776919020971
250,ground,306,-154.39633027626778
250,ground,307,-154.39400697351851
250,ground,308,-154.3944593217082
250,ground,309,-154.3977331036638
250,ground,310,-154.39560665884989
250,ground,311,-154.39580927436563
250,ground,312,-154.39724426392493
250,ground,313,-154.39860481633497
250,ground,314,-154.39858061916505
